"event_id","market","event_date","name","category","location","visitors","influence_radius","lat","lon","labels","is_cancelled"
"6416978","Boston, MA","2024-01-01","Astropreneurship and Space Medicine","conference","","1500","5.3","42.3764326","-71.11671530000001","conference, science, technology",False
"5864200","Boston, MA","2024-01-01","First Night Boston","music","","300000","28.62","42.3545521241445","-71.06555542885489","entertainment, festival",False
"6416978","Boston, MA","2024-01-02","Astropreneurship and Space Medicine","conference","","1500","5.3","42.3764326","-71.11671530000001","conference, science, technology",False
"6416978","Boston, MA","2024-01-03","Astropreneurship and Space Medicine","conference","","1500","5.3","42.3764326","-71.11671530000001","conference, science, technology",False
"6619087","Boston, MA","2024-01-03","Feeling Lost In Today's Market? Educational Tools For Real-Estate.","conference","","90","1.1","42.3504171","-71.0771768","business, conference",False
"6289437","Boston, MA","2024-01-04","NCAA Division I - Northeastern vs Stony Brook","sport","Matthews Arena","5600","1.42","42.3412352","-71.084523","basketball, ncaa, sport",False
"6424449","Boston, MA","2024-01-04","The SBA Advantage 2024: International Trade","conference","","50","0.73","42.3652069","-71.06309619999999","business, conference",False
"6416978","Boston, MA","2024-01-04","Astropreneurship and Space Medicine","conference","","1500","5.3","42.3764326","-71.11671530000001","conference, science, technology",False
"6638252","Boston, MA","2024-01-04","Intro to Restorative Justice Practices &  Circle Training for Educators","conference","Center for Restorative Justice","80","1.01","42.3588763","-71.0618257","community, conference",False
"5476029","Boston, MA","2024-01-04","Pittsburgh Penguins vs Boston Bruins","sport","TD Garden","18000","4.26","42.366198","-71.062146","ice-hockey, nhl, sport",False
"6416978","Boston, MA","2024-01-05","Astropreneurship and Space Medicine","conference","","1500","5.3","42.3764326","-71.11671530000001","conference, science, technology",False
"6638252","Boston, MA","2024-01-05","Intro to Restorative Justice Practices &  Circle Training for Educators","conference","Center for Restorative Justice","80","1.01","42.3588763","-71.0618257","community, conference",False
"6009608","Boston, MA","2024-01-06","Quinnipiac Bobcats vs Northeastern Huskies","sport","Matthews Arena","6000","1.62","42.3412352","-71.084523","ice-hockey, ncaa, sport",False
"6676945","Boston, MA","2024-01-06","Healing Arts expo with reiki, free spirits and Cosmic Cacoa & mushrooms","conference","","1500","3.05","42.3372723","-71.0784094","expo, health",False
"5478280","Boston, MA","2024-01-06","Tampa Bay Lightning vs Boston Bruins","sport","TD Garden","18000","4.26","42.366198","-71.062146","ice-hockey, nhl, sport",False
"6474007","Boston, MA","2024-01-07","NEWSS Annual Meeting","conference","Hyatt Regency Boston","500","3.15","42.3536427","-71.0607191","conference",False
"6676939","Boston, MA","2024-01-07","Tapping Into The New Year: Goal & Intention Setting Event","conference","","100","1.19","42.3620711","-71.07009479999999","conference, health",False
"6617831","Boston, MA","2024-01-08","Pop-Up Shop | Marissa Elaine Fragrances","conference","","1200","2.45","42.36606159999999","-71.0482911","expo, fashion",False
"6474007","Boston, MA","2024-01-08","NEWSS Annual Meeting","conference","Hyatt Regency Boston","500","3.15","42.3536427","-71.0607191","conference",False
"4525157","Boston, MA","2024-01-08","Madonna (Rescheduled from 8/30/2023)","music","TD Garden","13000","3.22","42.366198","-71.062146","concert, music",False
"4538594","Boston, MA","2024-01-09","Madonna (Rescheduled from 8/31/2023)","music","TD Garden","13000","3.22","42.366198","-71.062146","concert, music",False
"6474007","Boston, MA","2024-01-09","NEWSS Annual Meeting","conference","Hyatt Regency Boston","500","3.15","42.3536427","-71.0607191","conference",False
"6652291","Boston, MA","2024-01-09","Unlocking Sales Success with AI and ChatGPT!","conference","","100","1.19","42.3575744","-71.0558319","business, conference",False
"6474007","Boston, MA","2024-01-10","NEWSS Annual Meeting","conference","Hyatt Regency Boston","500","3.15","42.3536427","-71.0607191","conference",False
"6761044","Boston, MA","2024-01-10","Pop-Up Shop | Marissa Elaine Fragrances","conference","","1200","2.45","42.36606159999999","-71.0482911","expo, fashion",False
"5827369","Boston, MA","2024-01-10","Minnesota Timberwolves vs Boston Celtics","sport","TD Garden","15000","3.89","42.366198","-71.062146","basketball, nba, sport",False
"5222326","Boston, MA","2024-01-10","Freedom Boat Club @ The New England Boat Show - 6 Months No Dues!","conference","Boston Convention and Exhibition Center","20000","9.94","42.34533150000001","-71.04643720000001","expo, outdoor",False
"6298964","Boston, MA","2024-01-11","NCAA Division I - Northeastern vs Hofstra","sport","Matthews Arena","5000","1.24","42.3412352","-71.084523","basketball, ncaa, sport",False
"6474007","Boston, MA","2024-01-11","NEWSS Annual Meeting","conference","Hyatt Regency Boston","500","3.15","42.3536427","-71.0607191","conference",False
