hotel_code,business_date,total_rooms,current_rooms_sold,current_occupancy,current_adr,current_lead_time,pickup_rate,event_weight,forecast_occupancy,forecast_rooms,forecast_adr,forecast_revpar,has_event,event_count,total_visitors,event_names
hotel_b,2025-09-17,238,83.0,0.3487,432.08,79,0.5483408748114631,0.15,1.0,238.0,432.08,432.08,True,22,72300.0,The World of Hans Zimmer - A New Dimension | CX Innovation Summit | Annual Users Conference
hotel_b,2025-09-09,238,92.0,0.3866,427.19,71,0.537739711269123,0.10714285714285714,1.0,238.0,427.19,427.19,True,16,25500.0,Back to School: The Future of Passive House Training | Translational Digital Pathology & AI Summit | Cipher Talks
hotel_b,2025-07-16,238,190.0,0.7983,425.2,16,0.24740280727675687,0.04705882352941177,1.0,238.0,425.2,425.2,True,15,11200.0,Process Development for Cell Therapies Summit | TIER 1: Introduction to Restorative Justice and Circle Practice | Inner Ear Disorders Therapeutics Summit
hotel_b,2025-07-15,238,204.0,0.8571,422.06,15,0.2339281866592791,0.13781512605042015,1.0,238.0,422.06,422.06,True,17,32800.0,Weird Al Yankovic at Wang Theatre - Boch Center | Annual Dickens Society Symposium | Arts Action Consortium Presents Art of Social Change
hotel_b,2025-09-16,238,85.0,0.3571,421.89,78,0.5470157293686706,0.15,1.0,238.0,421.89,421.89,True,26,68660.0,LSX World Congress USA | The Promise and Peril of CRISPR | Cloud Coach User Conference 2025
hotel_b,2025-09-26,238,106.0,0.4454,405.4,88,0.5602671837965956,0.15,1.0,238.0,405.4,405.4,True,17,56900.0,John Mulaney at Wang Theatre - Boch Center | Testicular Cancer Conferences | Sowa Open Market - September
hotel_b,2025-09-08,238,87.0,0.3655,416.25,70,0.5364145658263305,0.03403361344537815,0.9359481792717087,222.8,416.25,389.59,True,5,8100.0,Splunk .conf | FUTURE FORUM: Health. Tech. Diplomacy. | Annual Preventing and Treating Biological Exposures: An Occupational Health Colloquium
hotel_b,2025-09-27,238,59.0,0.2479,404.87,89,0.5615923292393881,0.15,0.9594923292393881,228.4,404.87,388.47,True,15,75000.0,Brown Bears vs Harvard Crimson | Cabo Verdean Fashion Week Boston 2025 | 2025 New England Regional Juried Exhibition
hotel_b,2025-07-23,238,162.0,0.6807,378.38,23,0.33284553137494316,0.10420168067226891,1.0,238.0,378.38,378.38,True,11,24800.0,Sowa Open Market - July | Beacon Mobility SOAR Leadership Conference | Leading More Effective Teams
hotel_b,2025-09-06,238,79.0,0.3319,375.9,68,0.5337642749407455,0.15,1.0,238.0,375.9,375.9,True,9,181570.0,The Boston Arts Festival | Cambridge Carnival | Seisiún / Dropkick Murphys at Suffolk Downs
